Sample	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
S133_R1	6210.0	168.0	40.0	30.0	35.0	22.0	61.0	86.0	13.0	369.0	211.0	9.0	760.0	8.0	11.0	10.0	5.0	156.0	14.0	15.0	143.0	0.0	9.0	22.0	11.0	33.0	20.0	656.0	42.0	16.0	880.0	10.0	5.0	9.0	16.0	466.0	2488.0	19.0	279.0	7.0	22.0	25.0	1794.0	229283.0
S133_R2	6649.0	177.0	47.0	33.0	38.0	48.0	70.0	91.0	9.0	362.0	199.0	9.0	761.0	9.0	13.0	10.0	5.0	140.0	12.0	18.0	129.0	0.0	9.0	21.0	10.0	35.0	20.0	296.0	38.0	14.0	286.0	9.0	7.0	11.0	18.0	242.0	2516.0	15.0	87.0	5.0	24.0	22.0	1029.0	230945.0
S134_R1	17652.0	36.0	16.0	26.0	26.0	32.0	24.0	42.0	16.0	68.0	63.0	12.0	112.0	8.0	1.0	11.0	3.0	30.0	12.0	14.0	29.0	11.0	14.0	9.0	9.0	11.0	15.0	119.0	8.0	22.0	122.0	13.0	6.0	18.0	27.0	72.0	169.0	18.0	49.0	18.0	85.0	22.0	1326.0	121551.0
S134_R2	19095.0	34.0	18.0	19.0	36.0	55.0	19.0	21.0	8.0	53.0	29.0	8.0	96.0	7.0	2.0	10.0	2.0	22.0	10.0	14.0	19.0	7.0	13.0	9.0	9.0	9.0	14.0	25.0	8.0	20.0	29.0	11.0	6.0	11.0	22.0	20.0	153.0	15.0	17.0	12.0	65.0	19.0	1747.0	120129.0
S135_R1	2148.0	4.0	6.0	5.0	11.0	9.0	4.0	4.0	6.0	35.0	42.0	9.0	35.0	13.0	6.0	5.0	6.0	19.0	17.0	12.0	13.0	8.0	10.0	10.0	16.0	20.0	24.0	61.0	10.0	19.0	58.0	15.0	14.0	13.0	97.0	40.0	33.0	12.0	37.0	18.0	28.0	25.0	892.0	299298.0
S135_R2	2351.0	5.0	5.0	6.0	15.0	13.0	6.0	2.0	6.0	35.0	45.0	7.0	37.0	12.0	8.0	6.0	10.0	20.0	20.0	11.0	11.0	8.0	9.0	11.0	18.0	22.0	25.0	22.0	10.0	19.0	24.0	15.0	12.0	15.0	95.0	24.0	33.0	13.0	20.0	16.0	27.0	18.0	1614.0	298466.0
S136_R1	1541.0	4.0	1.0	5.0	8.0	7.0	12.0	10.0	11.0	54.0	31.0	9.0	54.0	13.0	5.0	11.0	7.0	28.0	10.0	4.0	15.0	6.0	19.0	22.0	12.0	19.0	14.0	74.0	17.0	24.0	68.0	11.0	8.0	8.0	26.0	71.0	127.0	13.0	49.0	13.0	18.0	16.0	979.0	126419.0
S136_R2	1977.0	9.0	2.0	9.0	9.0	8.0	10.0	9.0	10.0	46.0	31.0	10.0	47.0	11.0	7.0	12.0	8.0	16.0	11.0	5.0	18.0	7.0	24.0	18.0	14.0	18.0	19.0	19.0	20.0	22.0	11.0	9.0	11.0	11.0	20.0	24.0	123.0	13.0	31.0	7.0	11.0	14.0	1463.0	125699.0
S138_R1	5451.0	13.0	7.0	18.0	28.0	11.0	9.0	8.0	11.0	38.0	22.0	6.0	71.0	12.0	7.0	10.0	7.0	13.0	9.0	9.0	15.0	11.0	16.0	16.0	7.0	24.0	9.0	43.0	14.0	12.0	59.0	10.0	8.0	8.0	59.0	30.0	16.0	8.0	25.0	11.0	21.0	8.0	507.0	103795.0
S138_R2	5922.0	17.0	8.0	20.0	34.0	15.0	11.0	10.0	12.0	40.0	18.0	5.0	58.0	15.0	9.0	9.0	8.0	9.0	8.0	9.0	13.0	10.0	14.0	16.0	6.0	22.0	10.0	10.0	13.0	9.0	10.0	9.0	4.0	6.0	46.0	12.0	11.0	6.0	12.0	4.0	12.0	6.0	1459.0	102535.0
