task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
342	60/2eb14a	64592	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:43.808	26.1s	25.4s	94.8%	326.8 MB	3.7 GB	60.4 MB	5.6 MB
348	61/782f89	5713	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:48.239	21.8s	21s	96.6%	320.7 MB	3.5 GB	32.8 MB	5.7 MB
321	b7/cac605	42498	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:28.344	42.2s	41.4s	69.0%	337.8 MB	3.5 GB	231.8 MB	5.6 MB
324	d4/bf98b0	43492	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:29.152	41.8s	40.9s	78.0%	379.7 MB	3.7 GB	223 MB	5.7 MB
298	20/8b6814	28051	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:19.084	52.8s	51.9s	76.2%	339.9 MB	3.4 GB	378.1 MB	5.7 MB
323	c0/c5a0a0	43070	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:28.793	43.3s	42.4s	75.1%	362.7 MB	3.6 GB	240.7 MB	5.6 MB
354	92/9698ec	9585	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:51.078	21.2s	20s	104.0%	291.5 MB	3.6 GB	64.6 MB	5.7 MB
349	cb/32e837	6489	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:48.888	23.6s	22.9s	98.9%	279.7 MB	3.6 GB	81.6 MB	5.6 MB
338	6e/a2558d	61364	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:41.597	31.5s	30.8s	79.2%	318.6 MB	3.7 GB	158.1 MB	5.6 MB
333	49/b39b11	53325	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:36.113	38.3s	36.9s	82.5%	342.4 MB	3.5 GB	212.7 MB	5.6 MB
339	65/99cf1a	62310	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:42.409	32.1s	31.2s	85.9%	339 MB	3.7 GB	162.4 MB	5.6 MB
337	55/24376a	59557	POST_FASTQC (Quality check trimmed reads)	COMPLETED	0	2021-04-07 17:18:40.611	33.9s	32.2s	82.3%	360.9 MB	3.7 GB	162 MB	5.6 MB
